,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating,Global_Sales
32,Grand Theft Auto IV,X360,2008.0,Action,Take-Two Interactive,6.77,3.07,0.14,1.03,98.0,86.0,7.9,2958.0,M,11.01
33,Super Mario 3D Land,3DS,2011.0,Platform,Nintendo,4.89,3.05,2.14,0.78,90.0,82.0,8.4,925.0,E,10.86
34,Gran Turismo 5,PS3,2010.0,Racing,Sony Computer Entertainment,2.96,4.82,0.81,2.11,84.0,82.0,7.5,1115.0,E,10.7
35,Call of Duty: Modern Warfare 2,PS3,2009.0,Shooter,Activision,4.99,3.64,0.38,1.6,94.0,67.0,6.3,2077.0,M,10.610000000000001
36,Grand Theft Auto IV,PS3,2008.0,Action,Take-Two Interactive,4.77,3.7,0.44,1.61,98.0,64.0,7.5,2849.0,M,10.519999999999998
37,Call of Duty: Ghosts,X360,2013.0,Shooter,Activision,6.75,2.58,0.04,0.91,73.0,29.0,2.6,2118.0,M,10.28
38,Just Dance 3,Wii,2011.0,Misc,Ubisoft,5.95,3.11,0.0,1.06,74.0,15.0,7.8,16.0,E10+,10.120000000000001
39,New Super Mario Bros. 2,3DS,2012.0,Platform,Nintendo,3.66,3.27,2.49,0.63,78.0,70.0,7.2,425.0,E,10.05
40,Halo: Reach,X360,2010.0,Shooter,Microsoft Game Studios,7.06,1.97,0.08,0.79,91.0,99.0,7.9,2053.0,M,9.899999999999999
41,Halo 4,X360,2012.0,Shooter,Microsoft Game Studios,6.68,2.3,0.04,0.74,87.0,87.0,7.0,3273.0,M,9.76
42,Just Dance 2,Wii,2010.0,Misc,Ubisoft,5.8,2.85,0.01,0.78,74.0,24.0,7.3,24.0,E10+,9.44
43,Call of Duty: Ghosts,PS3,2013.0,Shooter,Activision,4.1,3.63,0.38,1.26,71.0,10.0,2.6,1049.0,M,9.37
44,Call of Duty 4: Modern Warfare,X360,2007.0,Shooter,Activision,5.95,2.37,0.13,0.9,94.0,70.0,8.4,1322.0,M,9.350000000000001
45,Animal Crossing: New Leaf,3DS,2012.0,Simulation,Nintendo,2.08,2.43,4.43,0.4,88.0,70.0,8.7,628.0,E,9.34
46,FIFA 17,PS4,2016.0,Sports,Electronic Arts,0.9,6.75,0.09,1.33,85.0,41.0,4.9,442.0,E,9.07
47,Mario Party DS,DS,2007.0,Misc,Nintendo,4.4,1.85,1.98,0.68,72.0,27.0,7.8,85.0,E,8.91
48,The Elder Scrolls V: Skyrim,X360,2011.0,Role-Playing,Bethesda Softworks,5.08,2.8,0.1,0.86,96.0,89.0,8.4,3602.0,M,8.84
49,FIFA 16,PS4,2015.0,Sports,Electronic Arts,1.13,6.13,0.06,1.28,82.0,42.0,4.3,902.0,E,8.6
50,Halo 2,X,2004.0,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,95.0,91.0,8.2,1224.0,M,8.48
51,Wii Party,Wii,2010.0,Misc,Nintendo,1.75,3.48,2.49,0.67,68.0,42.0,7.5,55.0,E,8.39
52,Mario Party 8,Wii,2007.0,Misc,Nintendo,3.74,2.25,1.58,0.71,62.0,41.0,6.3,191.0,E,8.280000000000001
53,FIFA Soccer 13,PS3,2012.0,Action,Electronic Arts,1.07,5.01,0.13,1.97,88.0,37.0,6.5,350.0,E,8.18
54,Final Fantasy X,PS2,2001.0,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,92.0,53.0,8.7,1077.0,T,8.040000000000001
55,The Sims 3,PC,2009.0,Simulation,Electronic Arts,0.99,6.42,0.0,0.6,86.0,75.0,7.6,894.0,T,8.01
56,Pok\xc3\xa9mon Platinum Version,DS,2008.0,Role-Playing,Nintendo,2.76,1.72,2.69,0.54,83.0,46.0,8.5,204.0,E,7.71
57,Grand Theft Auto: Liberty City Stories,PSP,2005.0,Action,Take-Two Interactive,2.9,2.81,0.24,1.73,88.0,65.0,7.6,453.0,M,7.68
58,Call of Duty: Advanced Warfare,PS4,2014.0,Shooter,Activision,2.83,3.48,0.14,1.24,83.0,39.0,5.7,1446.0,M,7.69
59,Super Mario Galaxy 2,Wii,2010.0,Platform,Nintendo,3.58,2.36,0.98,0.62,97.0,87.0,9.1,1859.0,E,7.54
60,Call of Duty: World at War,X360,2008.0,Shooter,Activision,4.83,1.9,0.0,0.7,84.0,84.0,7.6,583.0,M,7.430000000000001
61,Fallout 4,PS4,2015.0,Role-Playing,Bethesda Softworks,2.58,3.42,0.24,1.17,87.0,58.0,6.5,4258.0,M,7.41
62,Battlefield 3,X360,2011.0,Shooter,Electronic Arts,4.47,2.11,0.06,0.69,84.0,57.0,7.4,2144.0,M,7.33
63,Uncharted 4: A Thiefs End,PS4,2016.0,Shooter,Sony Computer Entertainment,2.92,2.98,0.19,1.18,93.0,113.0,7.9,7238.0,T,7.2700000000000005
64,Mario Kart 8,WiiU,2014.0,Racing,Nintendo,3.17,2.25,1.29,0.52,88.0,82.0,9.1,1607.0,E,7.23
65,Need for Speed Underground,PS2,2003.0,Racing,Electronic Arts,3.27,2.83,0.08,1.02,85.0,33.0,8.6,172.0,E,7.199999999999999
66,Just Dance,Wii,2009.0,Misc,Ubisoft,3.48,2.99,0.0,0.73,49.0,21.0,8.0,110.0,E10+,7.200000000000001
67,Battlefield 3,PS3,2011.0,Shooter,Electronic Arts,2.86,2.89,0.35,1.08,85.0,38.0,7.5,1762.0,M,7.18
68,The Legend of Zelda: Twilight Princess,Wii,2006.0,Action,Nintendo,3.74,2.14,0.6,0.68,95.0,73.0,9.0,1664.0,T,7.16
69,Super Smash Bros. Melee,GC,2001.0,Fighting,Nintendo,4.41,1.04,1.39,0.22,92.0,38.0,9.1,573.0,T,7.06
70,Need for Speed Underground 2,PS2,2004.0,Racing,Electronic Arts,2.71,3.02,0.08,1.09,82.0,39.0,8.6,132.0,E,6.9
71,Medal of Honor: Frontline,PS2,2002.0,Shooter,Electronic Arts,2.93,2.75,0.17,0.99,88.0,29.0,8.5,137.0,T,6.84
72,Just Dance 4,Wii,2012.0,Misc,Ubisoft,4.05,2.16,0.0,0.55,74.0,10.0,7.2,29.0,E10+,6.76
73,Gears of War 2,X360,2008.0,Shooter,Microsoft Game Studios,4.15,1.9,0.06,0.64,93.0,90.0,7.7,2746.0,M,6.75
74,Uncharted 3: Drakes Deception,PS3,2011.0,Action,Sony Computer Entertainment,2.77,2.75,0.19,1.03,92.0,97.0,8.3,3732.0,T,6.74
75,Zumba Fitness,Wii,2010.0,Sports,505 Games,3.46,2.6,0.0,0.66,,,,,E,6.720000000000001
76,Call of Duty 4: Modern Warfare,PS3,2007.0,Shooter,Activision,3.11,2.26,0.28,1.03,94.0,44.0,8.4,994.0,M,6.68
77,Uncharted 2: Among Thieves,PS3,2009.0,Action,Sony Computer Entertainment,3.27,2.2,0.21,0.98,96.0,105.0,8.8,5226.0,T,6.66
78,Big Brain Academy,DS,2005.0,Misc,Nintendo,1.66,2.75,1.6,0.62,74.0,45.0,7.4,27.0,E,6.63
79,Red Dead Redemption,PS3,2010.0,Action,Take-Two Interactive,2.8,2.53,0.17,1.0,95.0,73.0,8.9,2475.0,M,6.5
80,FIFA 14,PS3,2013.0,Sports,Electronic Arts,0.79,4.24,0.07,1.38,86.0,37.0,4.3,576.0,E,6.48
81,Donkey Kong Country Returns,Wii,2010.0,Platform,Nintendo,3.18,1.8,1.03,0.46,87.0,77.0,8.6,368.0,E,6.470000000000001
82,Assassins Creed III,PS3,2012.0,Action,Ubisoft,2.65,2.52,0.16,1.12,85.0,41.0,6.9,1314.0,M,6.45
83,Halo: Combat Evolved,X,2001.0,Shooter,Microsoft Game Studios,4.98,1.3,0.08,0.07,97.0,68.0,8.6,1292.0,M,6.430000000000001
84,The Elder Scrolls V: Skyrim,PS3,2011.0,Role-Playing,Bethesda Softworks,2.56,2.61,0.25,1.0,92.0,16.0,6.4,2530.0,M,6.42
85,Pok\xc3\xa9mon Emerald Version,GBA,2004.0,Role-Playing,Nintendo,2.57,1.58,2.06,0.21,76.0,28.0,9.0,223.0,E,6.420000000000001
86,Kingdom Hearts,PS2,2002.0,Role-Playing,Sony Computer Entertainment,3.64,1.2,1.49,0.07,85.0,46.0,8.8,610.0,E,6.4
87,Red Dead Redemption,X360,2010.0,Action,Take-Two Interactive,3.71,1.97,0.09,0.58,95.0,96.0,9.0,2327.0,M,6.35
88,Halo 3: ODST,X360,2009.0,Shooter,Microsoft Game Studios,4.34,1.34,0.06,0.61,83.0,94.0,7.1,1166.0,M,6.35
89,Super Mario Sunshine,GC,2002.0,Platform,Nintendo,4.01,1.26,0.87,0.17,92.0,61.0,8.6,444.0,E,6.31
90,World of Warcraft,PC,2004.0,Role-Playing,Activision,0.09,6.22,0.0,0.0,93.0,57.0,7.3,2199.0,T,6.31
91,Gears of War 3,X360,2011.0,Shooter,Microsoft Game Studios,4.05,1.59,0.07,0.5,91.0,96.0,7.8,1510.0,M,6.21
92,Kinect Sports,X360,2010.0,Sports,Microsoft Game Studios,3.92,1.73,0.03,0.51,73.0,51.0,7.4,95.0,E10+,6.19
93,Gears of War,X360,2006.0,Shooter,Microsoft Game Studios,3.54,1.88,0.07,0.6,94.0,88.0,8.3,2301.0,M,6.09
94,FIFA 15,PS4,2014.0,Sports,Electronic Arts,0.8,4.33,0.05,0.91,82.0,47.0,5.7,993.0,E,6.09
95,Metal Gear Solid 2: Sons of Liberty,PS2,2001.0,Action,Konami Digital Entertainment,2.45,2.01,0.87,0.72,96.0,42.0,8.7,1035.0,M,6.05
96,Metal Gear Solid 4: Guns of the Patriots,PS3,2008.0,Action,Konami Digital Entertainment,2.63,1.71,0.83,0.82,94.0,82.0,8.7,3575.0,M,5.99
97,Final Fantasy XII,PS2,2006.0,Role-Playing,Square Enix,1.88,0.0,2.33,1.74,92.0,64.0,7.7,982.0,T,5.95
98,The Last of Us,PS3,2013.0,Action,Sony Computer Entertainment Europe,2.41,2.19,0.29,0.99,95.0,98.0,9.1,8039.0,M,5.88
99,LittleBigPlanet,PS3,2008.0,Platform,Sony Computer Entertainment,2.8,1.98,0.17,0.87,95.0,85.0,6.8,5319.0,E,5.819999999999999
100,Call of Duty: Infinite Warfare,PS4,2016.0,Shooter,Activision,2.15,2.57,0.16,0.93,77.0,86.0,3.5,1208.0,M,5.81
101,Dragon Quest IX: Sentinels of the Starry Skies,DS,2009.0,Role-Playing,Nintendo,0.63,0.67,4.35,0.15,87.0,65.0,8.8,202.0,E10+,5.8
102,Grand Theft Auto V,XOne,2014.0,Action,Take-Two Interactive,2.93,2.32,0.0,0.49,97.0,14.0,7.9,774.0,M,5.74
103,Destiny,PS4,2014.0,Shooter,Activision,2.5,2.07,0.16,0.93,76.0,95.0,6.1,5389.0,T,5.66
104,LEGO Star Wars: The Complete Saga,Wii,2007.0,Action,LucasArts,3.57,1.56,0.0,0.51,80.0,17.0,8.9,62.0,E10+,5.64
105,Cooking Mama,DS,2006.0,Simulation,505 Games,3.08,1.91,0.07,0.57,67.0,35.0,7.2,21.0,E,5.630000000000001
106,Assassins Creed II,PS3,2009.0,Action,Ubisoft,2.54,1.93,0.21,0.86,91.0,70.0,8.6,1212.0,M,5.54
107,Assassins Creed,X360,2007.0,Adventure,Ubisoft,3.28,1.64,0.07,0.56,81.0,77.0,7.7,1084.0,M,5.550000000000001
108,Forza Motorsport 3,X360,2009.0,Racing,Microsoft Game Studios,2.99,1.9,0.1,0.5,92.0,90.0,8.0,516.0,E,5.49
109,Super Mario Advance,GBA,2001.0,Platform,Nintendo,3.14,1.24,0.91,0.2,84.0,19.0,7.8,42.0,E,5.49
110,Batman: Arkham City,PS3,2011.0,Action,Warner Bros. Interactive Entertainment,2.71,1.85,0.11,0.81,96.0,42.0,8.6,2174.0,T,5.48
111,Monster Hunter Freedom Unite,PSP,2008.0,Role-Playing,Capcom,0.47,0.55,4.13,0.34,81.0,48.0,8.7,124.0,T,5.49
112,Mario Kart: Super Circuit,GBA,2001.0,Racing,Nintendo,2.62,1.64,0.99,0.23,93.0,24.0,8.3,108.0,E,5.48
113,Crash Bandicoot: The Wrath of Cortex,PS2,2001.0,Platform,Universal Interactive,2.07,2.29,0.24,0.82,66.0,22.0,7.1,161.0,E,5.42
114,Call of Duty: World at War,PS3,2008.0,Shooter,Activision,2.73,1.83,0.0,0.83,85.0,45.0,7.6,410.0,M,5.390000000000001
115,Tomodachi Life,3DS,2013.0,Simulation,Nintendo,0.99,2.23,1.91,0.25,71.0,52.0,7.6,156.0,E,5.38
116,Final Fantasy XIII,PS3,2009.0,Role-Playing,Square Enix,1.75,1.21,1.87,0.51,83.0,83.0,7.2,2506.0,T,5.34
117,Battlefield 1,PS4,2016.0,Shooter,Electronic Arts,1.45,2.81,0.23,0.81,89.0,33.0,8.4,896.0,M,5.300000000000001
118,New Super Mario Bros. U,WiiU,2012.0,Platform,Nintendo,2.3,1.4,1.28,0.32,84.0,70.0,8.1,734.0,E,5.3
119,Assassins Creed III,X360,2012.0,Action,Ubisoft,3.13,1.69,0.03,0.44,84.0,61.0,6.8,1204.0,M,5.290000000000001
120,Final Fantasy X-2,PS2,2003.0,Role-Playing,Electronic Arts,1.92,1.08,2.11,0.17,85.0,45.0,6.6,404.0,T,5.279999999999999
121,Call of Duty: Advanced Warfare,XOne,2014.0,Shooter,Activision,3.24,1.55,0.01,0.48,81.0,53.0,5.4,900.0,M,5.279999999999999
122,Assassins Creed II,X360,2009.0,Action,Ubisoft,3.12,1.55,0.08,0.52,90.0,82.0,8.8,1320.0,M,5.27
123,Madden NFL 2004,PS2,2003.0,Sports,Electronic Arts,4.26,0.26,0.01,0.71,94.0,29.0,8.5,140.0,E,5.239999999999999
124,Dragon Quest VIII: Journey of the Cursed King,PS2,2004.0,Role-Playing,Square Enix,0.65,0.75,3.61,0.2,89.0,63.0,8.8,249.0,T,5.21
125,Professor Layton and the Curious Village,DS,2007.0,Puzzle,Nintendo,1.21,2.43,1.03,0.52,85.0,72.0,8.6,149.0,E,5.1899999999999995
126,FIFA Soccer 13,X360,2012.0,Action,Electronic Arts,1.09,3.47,0.03,0.58,90.0,48.0,6.1,404.0,E,5.170000000000001
127,Diablo III,PC,2012.0,Role-Playing,Activision,2.45,2.17,0.0,0.54,88.0,86.0,4.0,9643.0,M,5.16
128,Medal of Honor: Rising Sun,PS2,2003.0,Shooter,Electronic Arts,1.98,2.23,0.13,0.8,68.0,30.0,7.6,100.0,T,5.14
129,Guitar Hero II,PS2,2006.0,Misc,RedOctane,3.81,0.63,0.0,0.68,92.0,69.0,8.5,113.0,T,5.12
130,Fable III,X360,2010.0,Role-Playing,Microsoft Game Studios,3.59,1.08,0.05,0.38,80.0,88.0,6.5,608.0,M,5.1
131,Resident Evil 5,PS3,2009.0,Action,Capcom,1.96,1.41,1.08,0.64,84.0,76.0,7.5,671.0,M,5.09
132,The Legend of Zelda: Phantom Hourglass,DS,2007.0,Action,Nintendo,1.85,1.8,0.95,0.48,90.0,57.0,8.0,418.0,E,5.08
133,FIFA Soccer 11,PS3,2010.0,Sports,Electronic Arts,0.61,3.28,0.06,1.12,89.0,51.0,8.0,233.0,E,5.07
134,Grand Theft Auto: Vice City Stories,PSP,2006.0,Action,Take-Two Interactive,1.7,1.99,0.16,1.19,86.0,50.0,8.0,152.0,M,5.04
135,Guitar Hero III: Legends of Rock,PS2,2007.0,Misc,Activision,3.49,0.01,0.01,1.48,82.0,24.0,8.2,47.0,T,4.99
136,Links Crossbow Training,Wii,2007.0,Shooter,Nintendo,3.05,1.17,0.29,0.46,68.0,34.0,7.1,47.0,T,4.97
137,Fallout 3,X360,2008.0,Role-Playing,Bethesda Softworks,3.4,0.99,0.09,0.45,93.0,84.0,8.5,1658.0,M,4.93
138,Uncharted: Drakes Fortune,PS3,2007.0,Action,Sony Computer Entertainment,2.32,1.72,0.12,0.77,88.0,66.0,8.1,2332.0,T,4.93
139,Madden NFL 06,PS2,2005.0,Sports,Electronic Arts,3.98,0.26,0.01,0.66,88.0,29.0,8.0,121.0,E,4.91
140,StarCraft II: Wings of Liberty,PC,2010.0,Strategy,Activision,2.58,1.69,0.0,0.59,93.0,82.0,8.2,3057.0,T,4.859999999999999
141,Assassins Creed,PS3,2007.0,Adventure,Ubisoft,1.91,2.0,0.09,0.82,81.0,40.0,7.3,777.0,M,4.82
142,God of War III,PS3,2010.0,Action,Sony Computer Entertainment,2.74,1.34,0.12,0.61,92.0,101.0,8.7,2647.0,M,4.8100000000000005
143,Uncharted: The Nathan Drake Collection,PS4,2015.0,Action,Sony Computer Entertainment,2.13,1.79,0.09,0.79,86.0,78.0,8.1,1289.0,T,4.8
144,LEGO Star Wars: The Complete Saga,DS,2007.0,Action,LucasArts,2.83,1.48,0.0,0.45,80.0,9.0,5.4,46.0,E,4.760000000000001
145,Batman: Arkham City,X360,2011.0,Action,Warner Bros. Interactive Entertainment,2.99,1.27,0.04,0.42,94.0,87.0,8.7,1477.0,T,4.72
146,The Lord of the Rings: The Two Towers,PS2,2002.0,Action,Electronic Arts,1.94,1.95,0.08,0.7,82.0,32.0,8.2,78.0,T,4.67
147,Animal Crossing: City Folk,Wii,2008.0,Simulation,Nintendo,1.83,1.12,1.32,0.36,73.0,50.0,7.6,120.0,E,4.630000000000001
148,Luigis Mansion: Dark Moon,3DS,2013.0,Action,Nintendo,1.82,1.39,1.12,0.29,86.0,74.0,8.4,461.0,E,4.62
149,Halo 5: Guardians,XOne,2015.0,Shooter,Microsoft Game Studios,2.86,1.29,0.03,0.42,84.0,101.0,6.4,2455.0,T,4.6000000000000005
150,The Legend of Zelda: The Wind Waker,GC,2002.0,Action,Nintendo,2.6,0.99,0.89,0.13,96.0,80.0,8.9,977.0,E,4.609999999999999
151,Guitar Hero III: Legends of Rock,Wii,2007.0,Misc,Activision,3.04,1.11,0.0,0.43,86.0,36.0,8.4,87.0,T,4.58
152,Forza Motorsport 4,X360,2011.0,Racing,Microsoft Game Studios,2.08,1.97,0.06,0.46,91.0,83.0,8.2,619.0,E,4.569999999999999
153,Splatoon,WiiU,2015.0,Shooter,Nintendo,1.56,1.24,1.48,0.26,81.0,88.0,8.5,1189.0,E10+,4.539999999999999
154,Madden NFL 2005,PS2,2004.0,Sports,Electronic Arts,4.18,0.26,0.01,0.08,91.0,30.0,7.9,78.0,E,4.529999999999999
155,Guitar Hero III: Legends of Rock,X360,2007.0,Misc,Activision,3.19,0.91,0.01,0.42,85.0,69.0,7.9,167.0,T,4.529999999999999
156,Madden NFL 07,PS2,2006.0,Sports,Electronic Arts,3.63,0.24,0.01,0.61,84.0,29.0,8.2,39.0,E,4.49
157,Spider-Man: The Movie,PS2,2002.0,Action,Activision,2.71,1.51,0.03,0.23,76.0,25.0,7.9,42.0,E,4.48
158,Super Mario 3D World,WiiU,2013.0,Platform,Nintendo,2.18,1.23,0.73,0.34,93.0,83.0,9.0,1615.0,E,4.48
159,God of War,PS2,2005.0,Action,Sony Computer Entertainment,2.71,1.29,0.02,0.43,94.0,75.0,8.9,1007.0,M,4.449999999999999
160,Nintendo Land,WiiU,2012.0,Misc,Nintendo,2.52,1.11,0.46,0.33,77.0,61.0,7.9,473.0,E10+,4.42
161,Tony Hawks Pro Skater 3,PS2,2001.0,Sports,Activision,2.66,1.29,0.01,0.46,97.0,34.0,7.5,298.0,T,4.42
162,Winning Eleven: Pro Evolution Soccer 2007,PS2,2006.0,Sports,Konami Digital Entertainment,0.1,2.39,1.05,0.86,86.0,19.0,8.9,33.0,E,4.4
163,The Elder Scrolls IV: Oblivion,X360,2006.0,Role-Playing,Take-Two Interactive,2.83,1.03,0.13,0.4,94.0,90.0,8.7,1113.0,M,4.390000000000001
164,Call of Duty: Advanced Warfare,PS3,2014.0,Shooter,Activision,1.57,1.93,0.19,0.69,,,4.8,207.0,M,4.38
165,Fallout 4,XOne,2015.0,Role-Playing,Bethesda Softworks,2.59,1.37,0.01,0.4,88.0,39.0,6.2,1759.0,M,4.37
166,Need for Speed: Most Wanted,PS2,2005.0,Racing,Electronic Arts,2.03,1.79,0.08,0.47,82.0,36.0,9.1,138.0,T,4.37
167,Michael Jackson: The Experience,Wii,2010.0,Misc,Ubisoft,2.64,1.33,0.01,0.39,56.0,37.0,8.3,32.0,E10+,4.37
168,Resistance: Fall of Man,PS3,2006.0,Shooter,Sony Computer Entertainment,1.74,1.72,0.14,0.75,86.0,70.0,8.1,718.0,M,4.35
169,Kingdom Hearts II,PS2,2005.0,Role-Playing,Square Enix,2.2,0.58,1.38,0.17,87.0,64.0,9.0,778.0,E10+,4.33
170,Call of Duty: Advanced Warfare,X360,2014.0,Shooter,Activision,2.79,1.13,0.0,0.4,,,4.9,221.0,M,4.32
171,FIFA 15,PS3,2014.0,Sports,Electronic Arts,0.58,3.02,0.04,0.64,,,4.5,110.0,E,4.28
172,Fable II,X360,2008.0,Role-Playing,Microsoft Game Studios,2.51,1.24,0.11,0.41,89.0,95.0,6.5,2427.0,M,4.27
173,Batman: Arkham Asylum,PS3,2009.0,Action,Eidos Interactive,2.24,1.31,0.07,0.61,91.0,70.0,8.9,1130.0,T,4.23
174,Namco Museum,GBA,2001.0,Misc,Namco Bandai Games,3.0,1.11,0.05,0.07,79.0,10.0,7.3,6.0,E,4.23
175,Metal Gear Solid 3: Snake Eater,PS2,2004.0,Action,Konami Digital Entertainment,1.46,0.0,0.83,1.93,91.0,68.0,9.3,968.0,M,4.22
176,FIFA 14,X360,2013.0,Sports,Electronic Arts,0.93,2.89,0.01,0.4,84.0,41.0,4.2,436.0,E,4.23
177,Assassins Creed: Revelations,PS3,2011.0,Action,Ubisoft,1.41,2.01,0.1,0.7,80.0,39.0,7.5,620.0,M,4.22
178,Daxter,PSP,2006.0,Platform,Sony Computer Entertainment,2.45,1.01,0.0,0.75,85.0,59.0,8.7,109.0,E10+,4.21
179,FIFA Soccer 06,PS2,2005.0,Sports,Electronic Arts,0.78,2.55,0.04,0.84,80.0,32.0,7.8,47.0,E,4.21
180,EyeToy Play,PS2,2003.0,Misc,Sony Computer Entertainment,0.88,2.3,0.2,0.83,80.0,32.0,7.5,22.0,E,4.21
181,Assassins Creed: Revelations,X360,2011.0,Action,Ubisoft,2.25,1.47,0.04,0.43,80.0,77.0,7.2,570.0,M,4.1899999999999995
182,Gran Turismo 5 Prologue,PS3,2007.0,Racing,Sony Computer Entertainment,1.28,1.82,0.57,0.52,80.0,67.0,7.1,120.0,E,4.1899999999999995
183,Street Fighter IV,PS3,2009.0,Fighting,Capcom,2.03,1.04,0.58,0.52,94.0,61.0,7.3,331.0,T,4.17
184,Madden NFL 2003,PS2,2002.0,Sports,Electronic Arts,3.36,0.21,0.01,0.56,95.0,25.0,7.7,65.0,E,4.14
185,The Witcher 3: Wild Hunt,PS4,2015.0,Role-Playing,Namco Bandai Games,1.07,2.22,0.23,0.62,92.0,79.0,9.2,10270.0,M,4.14
